state_x,state_y,action,q_value
0,0,0,2.1862225891749043
0,0,1,7.933491843749968
0,0,2,6.343930454129737
0,0,3,6.242227173152073
0,1,0,-2.229641792682858
0,1,1,-2.345281997348161
0,1,2,5.664466108212254
0,1,3,-2.5464006524209557
0,2,0,0.2640682534368025
0,2,1,-2.7903358947100454
0,2,2,-3.1482003686789057
0,2,3,-2.7014684393708226
0,3,0,4.197258489616315
0,3,1,-2.2259347492667754
0,3,2,-2.346724132188606
0,3,3,-2.093234914825671
0,4,0,-0.2463918280044637
0,4,1,8.892136127720617
0,4,2,-1.6294129189141844
0,4,3,-0.19830665906103317
1,4,0,-0.3265149658111999
1,4,1,13.304757722397463
1,4,2,-0.7880798
1,4,3,0.35955993442712675
2,4,0,2.1954936326422523
2,4,1,17.05229852321317
2,4,2,-0.36000000000000004
2,4,3,1.793800934381274
1,2,0,-2.81823457965411
1,2,1,-2.7701415499305426
1,2,2,-2.7933264850769564
1,2,3,-2.882507808521469
1,0,0,7.89740824994471
1,0,1,9.403675624999968
1,0,2,7.57084134914812
1,0,3,6.423332958547202
2,0,0,7.676694367165766
2,0,1,10.951237499999971
2,0,2,8.871750256772069
2,0,3,7.878250365872278
2,1,0,-2.7654871083002686
2,1,1,-2.798832907174229
2,1,2,9.367029790339378
2,1,3,-2.956339305824674
3,4,0,-0.2
3,4,1,19.815532559262905
3,4,2,0.0
3,4,3,2.797506059957305
4,4,0,0.0
4,4,1,0.0
4,4,2,0.0
4,4,3,0.0
3,0,0,10.757313483926561
3,0,1,12.580249999999975
3,0,2,10.86583400257552
3,0,3,9.14357790159924
4,0,0,14.294999999999977
4,0,1,12.38334903363619
4,0,2,12.509201301715146
4,0,3,10.813938480893539
4,1,0,16.09999999999998
4,1,1,13.648960538085772
4,1,2,12.459044179916914
4,1,3,13.876663565550327
4,2,0,17.999999999999986
4,2,1,15.623545387018865
4,2,2,14.0785178404217
4,2,3,13.74388049470878
4,3,0,19.999999999999993
4,3,1,17.911820437720746
4,3,2,16.016569732726424
4,3,3,17.913546557516774
2,3,0,2.4329610103036314
2,3,1,-0.398
2,3,2,-0.2
2,3,3,-0.2
3,2,0,0.8164957950481122
3,2,1,16.014778240521565
3,2,2,1.9536718638417438
3,2,3,-0.398
